"","country","neet","relative_wc","mismatch","workingpov","underemp","informal","elementary","nosecondary","literacy","test_scores","country_code","transition_mean","working_conditions_mean","education_mean","transition_geom","working_conditions_geom","education_geom","index_mean","index_geom"
"31","Egypt",73.1255,48.2832863050427,70.0454460527991,99.371078999,97.7019,12.1,92.1600486118957,49.955185659411,88.19256,17.2307692307692,"EGY",63.818077452614,75.3332569027239,51.7928382967267,62.7694791870024,57.3617998930762,42.3421003940978,63.6480575506882,53.4213137750361
"32","Angola",89.9911,89.1455067321326,50.6744693140836,65.50099421,96.2326629589041,10.758904109589,91.6301105118431,58.65,77.43113,8,"AGO",76.6036920154054,66.0306679475841,48.0270433333333,74.0791645627772,49.9279989846751,33.1200665088573,63.5538010987743,49.6642420963738
"33","Burundi",93.81,88.9853930798832,84.3508119633067,25.87471643,90.0963,0.599999999999994,59.225809420218,43.4,88.22177,37.8461538461538,"BDI",89.0487350143966,43.9492064625545,56.489307948718,88.9649711425078,16.9652866714561,52.5245591051994,63.162416475223,42.9583461805877
"34","Zambia",56.9544,85.841764323093,87.923779276642,47.92827786,91.9609,12.6,72.6964464724282,58.1,92.09157,17.8461538461538,"ZMB",76.9066478665783,56.2964060831071,56.0125746153846,75.4705337026688,44.8249373450658,45.7067365620553,63.0718761883567,53.6734002192822
"35","Sierra Leone",89.9098,89.87956038461,84.3456652789162,47.39631297,88.2253,7.5,85.3094395094517,60.2,66.6486,4.92307692307692,"SLE",88.0450085545087,57.1077631198629,43.9238923076923,88.005587480827,40.4435261675892,27.0317843857862,63.025554660688,45.8224168244237
"36","Senegal",63.7608,96.3368812137515,82.375335392813,59.33727296,91.46,0.599999999999994,76.1295830327481,49.9,69.47841,34.4615384615385,"SEN",80.8243388688548,56.881713998187,51.2799828205128,79.6858443160634,22.3134061412235,49.2525090507293,62.9953452291849,44.4077193328923
"37","Pakistan",69.0416,76.9210980528664,76.4910714643361,97.517816601,98.8844,11.1,80.5206662773026,41.55,74.52638,12,"PAK",74.1512565057342,72.0057207195756,42.6921266666667,74.0609063033098,54.1826850091061,33.3698381499791,62.9497012973255,51.1604726850062
"38","Mauritania",64.472,88.452361031588,79.1734221183021,95.8384353,96.5753,1.8,94.6676380322236,38.2892018779343,63.94781,12.9230769230769,"MRT",77.3659277166301,72.2203433330559,38.3866962670037,76.7161258947594,35.4380614434286,31.6292800361875,62.6576557722299,44.138270182903
"39","Tanzania, United Republic of",85.068,93.2213265741775,72.7119192133462,58.21733709,85.33,2.7,62.13105447958,36.3,85.75514,27.0769230769231,"TZA",83.6670819291746,52.094597892395,49.7106876923077,83.2330296429808,30.2138899281397,43.8451976486485,61.8241225046257,47.9521546195799
"40","Gambia",50.4539,92.8777443309899,83.3786352253667,89.30248943,92.7645,14,58.4558671118382,59.4,67.16138,11.6923076923077,"GMB",75.5700931854522,63.6307141354595,46.0845625641026,73.1061188052187,51.0270403285544,35.9972035605591,61.7617899616714,51.2083705701195
"41","Liberia",86.8466,95.8993599538648,87.9151638273481,54.41298902,77.0995,4.59999999999999,89.806709422356,50.2,55.3987,9.84615384615385,"LBR",90.2203745937377,56.479799610589,38.4816179487179,90.1316745136787,36.2831671987571,30.1409291434635,61.7272640510149,46.1933815156724
"42","Ethiopia",89.5185,96.5657341362328,81.733208352793,72.92159264,78.0924,6.8,57.1828770210654,26,72.75482,18.1538461538462,"ETH",89.2724808296752,53.7492174152664,38.9695553846154,89.0659005279721,38.5753573164977,32.5038338798664,60.6637512098523,48.1561771647218
"43","Congo, Democratic Republic of the",78.6405,86.1008612126941,64.5514460797527,29.47108735,88.4538884383562,0.799999999999997,89.6173554078502,68.6,84.98951,5.53846153846154,"COD",76.4309357641489,52.0855827990516,53.0426571794872,75.8903540790101,20.7921212896935,31.8438958672875,60.5197252475626,36.9009197794601
"44","Malawi",67.0997,92.6983718596756,96.1974954385559,35.14226589,90.6506703099651,8.5,83.8240952434467,33.05,72.93561,18.1538461538462,"MWI",85.3318557660772,54.529257860853,41.3798187179487,84.2659555567846,38.8147814438962,35.2392436140848,60.4136441149596,48.665959573782
"45","Benin",82.7657,94.3887593840921,67.6846080196152,54.51231981,59.73,1.2,78.2506045590504,48.7,60.94808,25.8461538461538,"BEN",81.6130224679024,48.4232310922626,45.1647446153846,80.8636851932158,23.5146777586315,42.4908062470519,58.4003327251832,43.2310560166243
"46","Côte d'Ivoire",65.1728,91.2848767344812,54.5044888154523,74.98286619,91.9285,0.799999999999997,84.6188854477538,39.8,58.42015,22.4615384615385,"CIV",70.3207218499779,63.0825629094385,40.2272294871795,68.7014380979984,26.1361957793051,37.379063213928,57.8768380821986,40.6392363521616
"47","Nigeria",78.6401,86.1349895664319,66.5494042543668,48.54797292,79.3511308084878,0.900000000000006,58.7557484098358,65.3,75.02875,7.69230769230769,"NGA",77.1081646069329,46.8887130345809,49.3403525641026,76.6753813868299,21.2448795560501,33.5273462814169,57.7790767352055,37.940507230148
"48","Rwanda",69.3778,96.08599126816,82.3948275676248,48.19208333,80.7203,2.40000000000001,29.9159356156791,38.7,86.49277,17.8461538461538,"RWA",82.6195396119283,40.3070797364198,47.6796412820513,81.8955271440819,22.9888938529973,39.0911518879352,56.8687535434664,41.9069038069046
"49","Afghanistan",57.9925,86.6386557710331,81.4493554985783,51.6198855,75.5285,2.59108296717498,82.5477663334958,28.8,65.42055,16.9230769230769,"AFG",75.3601704232038,53.0718087001677,37.0478756410256,74.2432650490002,30.2188988883495,31.7099338283997,55.1599515881324,41.4359224319471
"50","Mali",73.284,80.7867405539583,51.0965942694821,51.15061863,100,4,95.3865004993815,39.6,50.1347,2.15384615384615,"MLI",68.3891116078134,62.6342797823454,30.6295153846154,67.1295499356896,37.3765704488237,16.2311551275481,53.8843022582581,34.4049452557721
"51","Madagascar",93.2158,94.8518063533902,68.1252716708537,27.02889873,54.16,2.40000000000001,24.0666546953448,40.3883696116091,81.19837,15.6923076923077,"MDG",85.3976260080813,26.9138883563362,45.7596824346389,84.4528794219235,17.0523207814186,37.1960494239702,52.6903989330188,37.6962593845253
"52","Bolivia",88.3646,80.0472645141178,79.276577201893,92.602523519,95.5255,6.3,92.5608119569298,NA,99.39917,NA,"BOL",82.562813905337,71.7472088689825,NA,82.4625133451804,47.6570835646287,NA,NA,NA
"53","Cape Verde",69.75,67.7634546375535,98.6570243088538,96.826779492,78.38,29.4,47.3470657451614,NA,98.11131,NA,"CPV",78.7234929821358,62.9884613092904,NA,77.5453786383567,57.0112136823065,NA,NA,NA
"54","Micronesia, Federated States of",76.3101,NA,NA,90.0870682439698,96.3387,11.1537735849057,86.9592774520678,NA,NA,NA,"FSM",NA,71.1347048202358,NA,NA,53.864203908472,NA,NA,NA
"55","Kenya",86.2689,92.6228423664064,74.8560800354912,66.14677895,NA,NA,NA,51.75,87.83,47.6923076923077,"KEN",84.5826074672992,NA,62.4241025641026,84.2558016790192,NA,60.0713222366648,NA,NA
"56","Kiribati",53.1097,NA,NA,NA,NA,NA,74.9672917575229,NA,NA,25.5384615384615,"KIR",NA,NA,NA,NA,NA,NA,NA,NA
"57","Niger",31.4357,NA,NA,55.66842999,90.1877598828901,1.3,87.0534873712242,23.5,39.78773,1.53846153846154,"NER",NA,58.5524193110286,21.6087305128205,NA,27.4550048491504,11.2884562961166,NA,NA
"58","Papua New Guinea",72.3161,80.2722572240084,62.5124664736795,69.57306279,NA,NA,NA,33.55,67.9,17.8461538461538,"PNG",71.700274565896,NA,39.7653846153846,71.3272864525509,NA,34.3849959181766,NA,NA
"59","Solomon Islands",92.956,94.2394825147062,87.5603642852557,77.51039577,96.7342,13.378400964935,97.7742059018657,NA,NA,19.0769230769231,"SLB",91.5852822666539,71.3493006592002,NA,91.5389570309183,55.9618581176381,NA,NA,NA
"60","Eswatini",64.5382,NA,NA,95.731895223,98.5669,35.5,73.8478909838982,68.5980527102006,95.46937,43.0769230769231,"SWZ",NA,75.9116715517245,69.0481152623746,NA,70.5242621570985,65.5853498685572,NA,NA
"61","Vanuatu",69.0311,NA,NA,NA,NA,NA,91.7956956485611,57.9233034571063,96.28212,17.2307692307692,"VUT",NA,NA,57.1453975626252,NA,NA,45.8037684888532,NA,NA
"62","Yemen",55.2316,89.431851983893,86.7665383997486,50.14406342,91.2132,10.5,77.4583272415159,NA,NA,6.46153846153846,"YEM",77.1433301278805,57.328897665379,NA,75.3952594531152,43.9171002938109,NA,NA,NA
"63","Bhutan",65.471042,82.3995612748016,54.8291143047004,97.642695039,97.31,16.295838718015,91.1483664336975,NA,93.09063,NA,"BTN",67.5665725265007,75.5992250476781,NA,66.6287697253113,61.2922704818889,NA,NA,NA
"64","Lesotho",NA,100,NA,53.4460446,99.49,8.45458774877229,84.8650146933164,63.9,86.6322,28.6153846153846,"LSO",NA,61.5639117605222,59.7158615384615,NA,44.1955997528455,54.1078066806393,NA,NA
"65","Morocco",NA,80.9472353536802,NA,99.544062465,86.98,12.9,86.3519558394996,60.6564127187367,97.73,20.6153846153846,"MAR",NA,71.4440045761249,59.6672657780404,NA,55.7280906068672,49.6247906388737,NA,NA
"66","Central African Republic",NA,NA,NA,30.36608751,NA,NA,NA,NA,38.26865,NA,"CAF",NA,NA,NA,NA,NA,NA,NA,NA
"67","Congo",NA,NA,NA,56.39232991,NA,NA,NA,78.25,82.05479,21.8461538461538,"COG",NA,NA,60.7169812820513,NA,NA,51.9582390981993,NA,NA
"68","Eritrea",NA,NA,NA,49.3291852,NA,NA,NA,NA,93.27239,NA,"ERI",NA,NA,NA,NA,NA,NA,NA,NA
"69","Guinea",NA,NA,NA,61.59721549,NA,NA,NA,40.1,46.29505,33.2307692307692,"GIN",NA,NA,39.8752730769231,NA,NA,39.5129791104006,NA,NA
"70","Guinea-Bissau",NA,NA,NA,36.87457595,NA,NA,NA,NA,60.40235,NA,"GNB",NA,NA,NA,NA,NA,NA,NA,NA
"71","Korea, Democratic People's Republic of",NA,NA,NA,77.43175251,NA,NA,NA,NA,NA,NA,"PRK",NA,NA,NA,NA,NA,NA,NA,NA
"72","Somalia",NA,NA,NA,24.59636092,NA,NA,NA,NA,NA,NA,"SOM",NA,NA,NA,NA,NA,NA,NA,NA
"73","Syrian Arab Republic",NA,NA,NA,72.55293577,NA,NA,NA,NA,NA,NA,"SYR",NA,NA,NA,NA,NA,NA,NA,NA
"74","Chad",NA,NA,NA,60.54668964,NA,NA,NA,36.5,30.79161,10.1538461538462,"TCD",NA,NA,25.8151520512821,NA,NA,22.5139629434067,NA,NA
"75","Tajikistan",NA,NA,NA,95.670444163,NA,NA,NA,81.0204438753735,99.9,44.3076923076923,"TJK",NA,NA,75.0760453943553,NA,NA,71.0471093092508,NA,NA
"76","Uzbekistan",NA,NA,NA,78.32144584,NA,NA,NA,NA,99.99996,NA,"UZB",NA,NA,NA,NA,NA,NA,NA,NA
"77","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,97.78255,NA,"STP",NA,NA,NA,NA,NA,NA,NA,NA
"78","South Sudan",NA,NA,NA,NA,NA,NA,NA,33.4801643192488,47.90096,11.0769230769231,"SSD",NA,NA,30.8193491320573,NA,NA,26.0925773342796,NA,NA
"79","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DJI",NA,NA,NA,NA,NA,NA,NA,NA
