ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,note_indicator.label,note_source.label
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: U.S. dollars,2000,28.92,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: 2017 PPP $,2001,117.5,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: U.S. dollars,2001,28.01,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: 2017 PPP $,2002,115.13,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: U.S. dollars,2002,27.66,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: 2017 PPP $,2003,114.23,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: U.S. dollars,2003,28.27,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: 2017 PPP $,2004,117.81,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: U.S. dollars,2004,29.14,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
Sri Lanka,Statutory nominal gross monthly minimum wage,LKA - ADM - Labour legislation,Currency: 2017 PPP $,2005,111.37,Currency: LKA - Sri Lankan rupee (LKR),Economic activity coverage: Manufacturing industries only
